OTU_ID,Phylum,Class,Order,Family,BOLD,BOLD_Perc,BLAST,BLAST_Perc,Result
OTU_1,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus laccophilus,100,Paratanytarsus laccophilus,100,Paratanytarsus laccophilus
OTU_2,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,99.52,Ablabesmyia,91,Ablabesmyia sp.
OTU_3,Arthropoda,Insecta,Diptera,Chironomidae,Monopelopia tenuicalcar,100,Monopelopia tenuicalcar,100,Monopelopia tenuicalcar
OTU_4,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus nemorosus,98.8,Tanytarsus nemorosus,100,Tanytarsus nemorosus
OTU_5,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes pedellus,100,Microtendipes pedellus,100,Microtendipes pedellus
OTU_6,Arthropoda,Insecta,Diptera,Chironomidae,Procladius crassinervis,100,Procladius crassinervis,100,Procladius crassinervis
,Arthropoda,Insecta,Diptera,Chironomidae,Procladius pruinosus,100,Procladius cf. Fuscus,100,
OTU_7,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum nubeculosum,100,Polypedilum nubeculosum,100,Polypedilum nubeculosum
OTU_8,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,98.51,Procladius,91,Procladius sp.
OTU_9,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus cf. aprilinus,100,Chironomus pseudothummi/riparius,100,Chironomus sp.
OTU_10,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus pseudomendax,100,Chironomus dorsalis,100,Chironomus pseudomendax/dorsalis
,Arthropoda,Insecta,Diptera,Chironomidae,,,Chironomus pseudomendax,99,
OTU_11,Arthropoda,Insecta,Diptera,Chironomidae,Cladotanytarsus pallidus,100,Cladotanytarsus iucundus,100,Cladotanytarsus pallidus/iucundus
,Arthropoda,Insecta,Diptera,Chironomidae,,,Cladotanytarsus pallidus,98,
OTU_12,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus sp.,100,Chironomus sp.,100,Chironomus sp.
OTU_13,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius sp. 17ES,98.56,Orthocladius smolandicus,95,Orthocladius sp. 17ES
OTU_14,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,100,Procladius choreus,99,Procladius sp.
OTU_15,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra lindrothi,100,Micropsectra lindrothi,100,Micropsectra lindrothi
OTU_16,Arthropoda,Insecta,Diptera,Chironomidae,Clinotanypus nervosus,100,Clinotanypus nervosus,100,Clinotanypus nervosus
OTU_17,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus mendax,99.52,Tanytarsus mendax,100,Tanytarsus mendax
OTU_18,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,100,Chironomus nuditaris,100,Chironomus sp.
OTU_19,Arthropoda,Insecta,Diptera,Chironomidae,Chironomidae,88,Chironomidae,88,Chironomidae
OTU_20,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes pallens,100,Glyptotendipes pallens,100,Glyptotendipes pallens
OTU_21,Arthropoda,Insecta,Diptera,Chironomidae,Paratendipes albimanus,100,Paratendipes albimanus,100,Paratendipes albimanus
OTU_22,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,90,Cricotopus,90,Cricotopus
OTU_23,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus occultus,100,Tanytarsus occultus,100,Tanytarsus occultus
OTU_24,Arthropoda,Insecta,Diptera,Chironomidae,Chironomidae,99.04,Chironomidae,88,Chironomidae
OTU_25,Arthropoda,Insecta,Diptera,Chironomidae,Zavreliella marmorata,99.76,Zavreliella marmorata,99.52,Zavreliella marmorata
OTU_26,Arthropoda,Insecta,Diptera,Chironomidae,Procladius nigriventris,100,Procladius nigriventris,100,Procladius nigriventris/culiciformis
,Arthropoda,Insecta,Diptera,Chironomidae,Procladius culiciformis,99.76,Procladius culiciformis,100,
OTU_27,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus occultus,99.76,Tanytarsus occultus,99.76,Tanytarsus occultus
OTU_28,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus sp. 4ES,99.15,Cricotopus maurii,98,Cricotopus sp. 4ES/tricinctus/maurii/fuscus
,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus   tricinctus,99,Cricotopus fuscus,98,
OTU_29,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius platypus,99.76,Psectrocladius platypus,100,Psectrocladius platypus
OTU_30,Arthropoda,Insecta,Diptera,Chironomidae,Chironomidae,100,No match,,Chironomidae
OTU_31,Arthropoda,Insecta,Diptera,Chironomidae,Xenopelopia falcigera,100,Xenopelopia falcigera,94,Xenopelopia falcigera
OTU_32,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius schlienzi,100,Psectrocladius schlienzi,100,Psectrocladius schlienzi
OTU_33,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus chinyensis,100,Tanytarsus chinyensis,100,Tanytarsus chinyensis
OTU_34,Arthropoda,Insecta,Diptera,Chironomidae,Chironomidae,98.56,No match,,Chironomidae
OTU_35,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius limbatellus,100,Psectrocladius limbatellus,100,Psectrocladius limbatellus
OTU_36,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes lobiger,100,Dicrotendipes lobiger,100,Dicrotendipes lobiger
OTU_37,Arthropoda,Insecta,Diptera,Chironomidae,Kiefferulus tendipediformis,100,Kiefferulus tendipediformis,100,Kiefferulus tendipediformis
OTU_38,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia monilis,99,Ablabesmyia monilis,99,Ablabesmyia monilis
OTU_39,Arthropoda,Insecta,Diptera,Chironomidae,Synendotendipes impar,99.52,Synendotendipes impar,99.52,Synendotendipes impar
OTU_40,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius platypus,100,Psectrocladius platypus,100,Psectrocladius platypus
OTU_41,Arthropoda,Insecta,Diptera,Chironomidae,Procladius culiciformis,100,Procladius culiciformis,100,Procladius culiciformis/pectinatus
,Arthropoda,Insecta,Diptera,Chironomidae,Procladius pectinatus,100,Procladius pectinatus,100,
OTU_42,Arthropoda,Insecta,Diptera,Chironomidae,Chironomidae,,No match,,Chironomidae
OTU_43,Arthropoda,Insecta,Diptera,Chironomidae,Endochironomus albipennis,99.76,Endochironomus tendens,100,Endochironomus tendens/albipennis
,Arthropoda,Insecta,Diptera,Chironomidae,Endochironomus tendens,99.76,Endochironomus albipennis,99,
OTU_44,Arthropoda,Insecta,Diptera,Chironomidae,Chironomidae,99.76,No match,,Chironomidae
OTU_45,Arthropoda,Insecta,Diptera,Chironomidae,Psectrotanypus varius,100,Psectrotanypus varius,100,Psectrotanypus varius
OTU_46,Proteobacteria,Alphaproteobacteria,Rickettsiales,,Rickettsiales,98.92,Rickettsiales,100,Rickettsiales
OTU_47,Arthropoda,Insecta,Diptera,Chironomidae,Robackia demeijerei,100,Parachironomus vitiosus,100,Robackia demeijerei/Parachironomus vitiosus
,Arthropoda,Insecta,Diptera,Chironomidae,Parachironomus vitiosus,100,,,
OTU_48,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia monilis,99.28,Ablabesmyia monilis,99,Ablabesmyia monilis
OTU_49,Arthropoda,Insecta,Diptera,Chironomidae,Stempellina bausei,99.76,Stempellina bausei,100,Stempellina bausei
OTU_50,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius sp.,97.6,Psectrocladius sp.,98,Psectrocladius sp.
OTU_51,Arthropoda,Insecta,Diptera,Chironomidae,Procladius crassinervis,99.52,Procladius crassinervis,100,Procladius crassinervis
OTU_52,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus annularius,99.76,Chironomus annularius,100,Chironomus annularius
OTU_53,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus usmaensis,100,Tanytarsus usmaensis,100,Tanytarsus usmaensis
OTU_54,Arthropoda,Insecta,Diptera,Chironomidae,Acricotopus lucens,100,Acricotopus lucens,100,Acricotopus lucens
OTU_55,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus cingulatus,100,Chironomus cingulatus,100,Chironomus cingulatus/piger
,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus piger,99,Chironomus piger,100,
OTU_56,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus ejuncidus,100,Tanytarsus ejuncidus,100,Tanytarsus ejuncidus
OTU_57,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum nubeculosum,97,Polypedilum nubeculosum,100,Polypedilum nubeculosum
OTU_58,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus sp.,99.72,Tanytarsus sp.,98,Tanytarsus sp.
OTU_59,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus penicillatus,99.76,Paratanytarsus penicillatus,100,Paratanytarsus penicillatus
OTU_60,Arthropoda,Insecta,Diptera,Chironomidae,Endochironomus albipennis,98.8,Endochironomus albipennis,98,Endochironomus albipennis
OTU_61,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum tritum,99.52,Polypedilum tritum,99.52,Polypedilum tritum
OTU_62,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus sp. 4TE,100,Chironomus sp. 4TE,100,Chironomus sp. 4TE
OTU_63,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra contracta,100,Micropsectra contracta,100,Micropsectra contracta/apposita
,Arthropoda,Insecta,Diptera,Chironomidae,,,Micropsectra apposita,100,
OTU_64,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus laccophilus,100,Paratanytarsus laccophilus,100,Paratanytarsus laccophilus
OTU_65,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia monilis,99.76,Ablabesmyia monilis,99,Ablabesmyia monilis
OTU_66,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus occultus,97.84,Tanytarsus occultus,98,Tanytarsus occultus
OTU_67,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes signatus,100,Glyptotendipes signatus,100,Glyptotendipes signatus
OTU_68,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus laccophilus,99.17,Paratanytarsus laccophilus,99,Paratanytarsus laccophilus
OTU_69,Arthropoda,Insecta,Diptera,Chironomidae,Tanypus kraatzi,100,Tanypus kraatzi,100,Tanypus kraatzi
OTU_70,Arthropoda,Insecta,Diptera,Chironominae,Bezzia annulipes,100,No match,,
OTU_71,Arthropoda,Insecta,Diptera,Chironomidae,Parachironomus parilis,99.76,Parachironomus parilis,99.52,Parachironomus parilis
OTU_72,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus buchonius,99.76,Tanytarsus buchonius,99.76,Tanytarsus buchonius
OTU_73,Arthropoda,Insecta,Diptera,Chironomidae,Acricotopus sp.,99.28,No match,,Acricotopus sp.
OTU_74,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura carriana,100,Corynoneura carriana,100,Corynoneura carriana
OTU_75,Arthropoda,Insecta,Diptera,Chironomidae,Zavrelimyia schineri,99.76,No match,,Zavrelimyia schineri
OTU_76,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus tenellulus,99.76,Paratanytarsus tenellulus,99.76,Paratanytarsus tenellulus
OTU_77,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum arundineti,98.58,Polypedilum arundineti,98.57,Polypedilum arundineti
OTU_78,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeon dipterum,100,Cloeon dipterum,100,Cloeon dipterum
OTU_79,No match,No match,No match,No match,No match,,No match,,No match
OTU_80,Arthropoda,Insecta,Diptera,Chironomidae,Metriocnemus,100,Metriocnemus eurynotus,99.76,Metriocnemus eurynotus
OTU_81,Arthropoda,Insecta,Diptera,Chironomidae,Cladopelma edwardsi,99.28,Cladopelma edwardsi,99.29,Cladopelma edwardsi
OTU_82,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus sylvestris,100,Cricotopus sylvestris,100,Cricotopus sylvestris/glacialis
,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus glacialis,100,Cricotopus glacialis,99,
OTU_83,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus occultus,99,No match,,Tanytarsus occultus
OTU_84,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus pallidicornis,100,Tanytarsus pallidicornis,99,Tanytarsus pallidicornis
OTU_85,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus grimmii,100,Paratanytarsus grimmii,100,Paratanytarsus grimmii
OTU_86,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus festivellus,99.76,Cricotopus festivellus,99.76,Cricotopus festivellus
